reviewId,content,score,thumbsUpCount,at,replyContent,repliedAt,appName
8b3b614a-fc74-45bc-8214-7b0b2ea90640,"I have been a regular flipkart customer but my recent experiences have been extremely frustrating. App is too slow. there is no improvement in their server even after many months. it takes years to load. They can't even send one product right. if you order 5 items, 3 items turn out to be completely different from what you order or item description. And they don't even let me return. Their excuses for this is sometimes technical issue or sometimes other error. I am fed with flipkart.",1,0,1723204615000,,,Flipkart
390da3e8-f616-4671-8496-26bed5a40850,"No normal or affiliat links are opening. Everytime when I try to open the app or redirect to the app via links it's says 'something went wrong!"" ""Please try again later"" ""Retry"" Now not even possible to login(tried to logout and login, uninstall and reinstall the app to solve this issue) and search for any product. Such time, data and device storage space wasting app!. Update: it was auto fixed or something. But issue coming again and unable to open any product page and place an order.",1,0,1715502503000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1715593111000,Flipkart
44bd8155-189c-48fc-8a32-8c09ac82691e,"Guys...!!! Can you all optimise the app please? I got amazon,myntra,..every shopping app running smoothly as ever except this. Clicking on an item or going back and forth and it keeps on loading sometimes even for 35, 45 seconds... I can play games on my phone and has ample RAM to run a shopping application. The Update seems to have made it even worse. Come on.... I use it a lot and it's such a pain in the @££!!!!",1,90,1723338880000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1723489245000,Flipkart
079f3c4a-6757-420e-b971-92119ee75188,"I'm using Flipkart for many years and I have been impressed with the great deals, offers, and products available. However, one major downside to the app nowadays is that it is very slow and lags significantly when the back key is pressed. It also takes a long time to load a page, which can be frustrating when trying to browse through products quickly. This lagging issue definitely needs to be addressed by the developers to improve the overall user experience",5,915,1722958555000,"Hi Flipkart User, Thank you so much for your feedback. We are glad that you are enjoying Flipkart and we look forward to serving you again.",1723025173000,Flipkart
6ade9f38-ff76-48f2-b77e-a2b4389833c4,"I have been a regular customer on Flipkart, but my recent experiences have been extremely frustrating. Many times, the products I order are not delivered by the date promised at the time of purchase. Additionally, sellers often delay shipping the items, and in some instances, my orders have been cancelled without any prior notice.This recurring issue has caused significant inconvenience, especially when I am counting on receiving items within a specific timeframe.",1,134,1723034854000,,,Flipkart
265b3047-4c04-4c49-bdfd-54b675f75e8f,"I'm using Flipkart for many years and I have been impressed with the great deals, offers, and products available. However, one major downside to the app nowadays is that it is very slow and lags significantly when the back key is pressed. It also takes a long time to load a page, which can be frustrating when trying to browse through products quickly. This lagging issue definitely needs to be addressed by the developers to improve the overall user experience.",5,1767,1722453872000,"Hi Flipkart User, Thank you so much for your feedback. We are glad that you are enjoying Flipkart and we look forward to serving you again.",1722505849000,Flipkart
b00e6ed1-cdd5-43ec-9d74-f57a1307616f,"Worst service ever. I'd suggest go for any other similar app like Amazon, Myntra, ajio instead of wasting time and money on this useless app. The customer service is the worst here. Delivery is delayed. No try from delivery executive to make the delivery. Refund gets cancelled without contact. If you raise issue they close it without communicating. And even when the product for return was picked up and they don't send a message it is your mistake and you can't raise a issue on that.",1,24,1723297984000,,,Flipkart
2dc5ee8d-1cce-49cd-a77e-f77d8f25dd07,"Nowadays, Flipkart is not that smooth as it was before. 7 out of 10 times whenever I try to search for products it displays network error or so. Also it shows a blank page, unable to do anything; it is quite frustrating for the user, ever after clearing the data, I am unable to log in, it has been stuck in the blue interface for a long time.",1,1017,1716513527000,,,Flipkart
0ad75c25-4135-428b-a637-b2a9c1fd0ae4,"As a long-time Flipkart user, I must say I am extremely disappointed with the recent update. The new loading system and constant popups have made browsing products a nightmare. It's frustrating to wait around 30 minutes just to see a color change or update filters. This unnecessary delay has made the shopping experience tedious and time-consuming. I hope Flipkart reconsiders this update and improves the user experience soon.",1,10,1723362450000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1723489224000,Flipkart
d158b718-17d2-41ef-8c35-0dde53d3c43b,"I'm using Flipkart for many years and I have been impressed with the great deals, offers, and products available. However, one major downside to the app nowadays is that it is very slow and lags significantly when the back key is pressed. It also takes a long time to load a page, which can be frustrating when trying to browse through products quickly. This lagging issue definitely needs to be addressed by the developers to improve the overall user experience.",2,1066,1718992205000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1719048919000,Flipkart
5bbe689d-96f4-46e4-af1f-01a660eb2f5f,"For last few months, the performance of the app has gone down the drain. It's always getting hung... Then most of the time please retry messages will pop up while trying to do anything. This is becoming quite frustrating. Initially I thought it was my phone's performance issue but other platforms are working just fine. Now when I'm trying to save any item in the wishlist then it says API error has occurred.",1,945,1716897365000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1716975438000,Flipkart
bbee0280-5d8e-47e5-aa0e-1387c773c952,"""I had an absolutely dreadful experience with Flipkart. The website is a complete mess, making it nearly impossible to find what you're looking for. The user interface is outdated and clunky, and the search function barely works. Customer service is a joke; they're unresponsive and unhelpful, leaving you frustrated and without solutions.Navigating through the checkout process is a nightmare, with constant errors and glitches. Delivery times are incredibly slow.",1,800,1720928656000,,,Flipkart
eb08844d-ffb6-4947-98e2-5b312681a200,"Recent experience with flipkart is just horrible. It takes a lot of time to load the app or various options. The open box delivery is just a joke, delivery person comes open the box takes a pic and goes away. No proper checks are performed. The new return policies are worthless. Prices of the products keep on changing without any specific reason. The overall experience is very very bad.",1,401,1719539786000,,,Flipkart
f0d16958-1420-4aec-9910-7ea65cb8be35,"Pathetic experience. I ordered a product, they sent me a broken item, since it is a open box delivery I have rejected the item and asked for the replacement. This time they sent me a not working product with the element broken inside. It didn't even work once. As soon as I turn it ON, it shows up an error. I contacted the customer but, they just time pass. It's been a week and there is no resolution or proper communication. Every time I call, they just say something and end the conversation.",1,131,1718659924000,,,Flipkart
06fc89f6-311f-4c55-afa5-b97b299e6b2d,"App is getting worse by the day. Filtering by catagory doesn't work. Searching for ""laptop"" brings up 20000 entries for laptop sleeves, keyboards, toys etc. The ""Sort by"" feature is also not working anymore. Sorting by High to low or vice versa seems to give random results without any order. Seems like Flipkart, which i used because they were better than the compitition, are now deliberately doing these things to confuse the customer. Making it hard to find and compare products. FIX THIS!",1,157,1722617589000,,,Flipkart
593333e2-09bf-47b6-a2f2-80f3f65a6afb,"I recently ordered a product - a combo of 3 perfumes and i prepaid for it. The package was damaged with 1 bottle missing and the other 2 opened. I talked to the customer care agent and they helped me initiate a return for the product. Just 1 day before the return, it got cancelled by itself. My Money got wasted just like that ! This is probably the worst delivery experience I have ever had. Never ordering anything again from Flipkart and will abstain everyone I know from using this app !",1,2,1723321039000,,,Flipkart
6a7d622e-9e9a-40e1-8e79-6e01ac21faf7,"App is so laggy. Open anything or any product. It takes years to load. Can't the developers fix this issue?. I mean I guess I'm not the only one who might be be facing this. Open any product, go to reviews. It'll take years to load that information. Please solve this issue as soon as possible. Because it's getting hard for many of us to explore different categories or products.",1,465,1721273292000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1721381813000,Flipkart
1d23b5ba-407b-4e0e-9fa8-817f7ab7bd5c,"The app runs very slow. Whenever I click the product to view, it takes too much time to load and to display the product. When I try to go back it to view more options it takes even more time to load. I have to wait too much to view another product. I'm facing this problem from a couple of months. The app ruins all my shopping experience. I couldn't not shop as I am not able to shuffle among products.",1,676,1718500320000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1718617123000,Flipkart
58a7a2fb-7e81-4e0e-bc59-f63bd08a07e5,"I ordered a product from the app, but the delivery time was soo long. That's why i canceled the order. But I was charged a cancelation fee of 30 rupees without any prior information. It really feels like scam. Also, the notice said it was to compensate seller for shipping, but the order was not even packed. Also the chat option in the app is not working. Really disappointing 😞",1,353,1719175708000,,,Flipkart
8ebcc419-2abb-4f9f-be9d-af0db53dba4c,"The worst shopping site ever, the products tend to have dirt on them and when you want to change a phone number, they do not allow you to even do that, the app is stuck in 2000s, doesn't allow you to change it. Flipkart is worse than amazon or Meesho, they can't even send one product right, if you order 5 items, 3 items turn out to be completely different than the description. They have a long way to go before they can even catch up to their competitors.",1,1232,1719157975000,,,Flipkart
8a24a6c1-0930-4bd3-9ae7-1ef69212382d,"It always delivers wrong and damaged products. I had bought too many items from it but not a single one was perfect, it always had some or the other problems. It's just very dissatisfying and horrible. Once I ordered a showergel gel and they gave me an expired one . No matter how many times I tried to replace it they always cancelled my replacement request in spite of verifying and confirming my cancellation request.",1,355,1719422430000,,,Flipkart
ed59828d-e557-4561-b3a1-a00ada453195,"Absolutely Abysmal Experience with Flipkart – Worst Service Ever! My recent experience with Flipkart has been nothing short of a nightmare. I placed an order, waited patiently for days, and then out of the blue, the order was cancelled. Did they bother to notify me? Absolutely not! No email, no SMS, no app notification – they just cancelled my order without a single word of explanation. When I contacted their so-called customer service, it was a complete waste of time.",1,533,1717931468000,,,Flipkart
78473837-06b0-4eb2-85cf-73a1a8764bc2,"This app has become very frustrating to use recently. Whenever I try to go back a step, it keeps on loading indefinitely. This issue is incredibly annoying and disrupts the shopping experience. I expected better performance from Flipkart, but it seems like the app is just not up to the mark anymore. Switching to other platforms until this gets fixed.",1,1099,1718915595000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1718962471000,Flipkart
07d279e4-934c-4d52-b661-b73be29f62f4,"This app has very frustrating to use recently. Whenever I try to go back a step, it keeps on loading n loading. This issue is incredibly annoying and disrupts the shopping experience. I expected better performance from Flipkart, but it seems like the app is just not up to the mark anymore. Switching to other platforms until this gets fixed",1,186,1719527601000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1719567247000,Flipkart
d70967c1-0089-4359-9362-0928736d94c1,Very poor service from flipkart and by its seller. I experienced the problem with my last several orders and everytime instead of replacement or delivering item they cancel the order and refund. But I expect the item instead of refund because we ordered the product and wait for so long and once it's get delivered its either damaged or less quantity. They are wasting their own and customers time as well. My personal experience with flipkart is horrible. They don't have the solution for any proble,1,31,1722575561000,,,Flipkart
c78e40c7-e8f2-4312-93ef-dce5c60f8dd6,"Updated : This app lags a lot nowadays and facing this problem from last 3 months, as soon as click to view particular product and goes back it takes hell lot of time to bring back me to the main menu. Please fix this issue. Old Post : From the last 4 years I'm using this app and had done lots of lots of shopping from this app, community is best, overall best.",1,61,1719699360000,"Hi Flipkart User, We sincerely apologize for the inconvenience. Please share the details of your issue with app-feedback@flipkart.com for the team to quickly resolve it for you.",1719740048000,Flipkart
