reviewId,content,score,thumbsUpCount,at,replyContent,repliedAt,appName
0ec09e39-09a7-408a-93af-0efa53dd21e2,"I use to order from this store, I stop doing it because it takes a while for them to deliver my orders. Don't install the App, advertising pop-ups will be installed together with the App, it's Annoying.  It is best to order your items from Amazon especially for imported items, it is cheaper and that every item will be delivered on time or earlier even if it came from the other side of the world. Please note that theri tracking system is real, not like Lazada which I think is not true, considering that even if the item had already been picked up by the local carrier as indicated, it would still take another 2 weeks for them to deliver, You'll be wondering as to who is informing you correctly. For your added information, you could pay Amazon using the Western Union outlets, that is if you don't have any credit card.",1,11,1549367190000,"Dear customer, we are sorry to hear that our services have fallen short of your expectations. Your feedback has been duly noted for future improvements of our services. Please contact our customer service officer if you have any query, our customer service numbers are  PH: (02) 795 8900, SG: +65 3158 7424, and MY: 03 8601 188",1543904664000,Lazada
8ad85175-b63c-4898-b289-c23255fd06cb,"1. have to keep clicking on the product search bar and clicking the ""x"" button while looking for my shopping list items. should be intuitive and when I click on the bar, it should just empty out 2. all buttons are too small for mobile use... some things (like delivery slot choosing) is just a link, not a button 3. I have to select all items in my cart before I can pay! it's in my cart! obviously I want to buy it! 4. I miss redmart! if possible get the same interface!",1,12,1552944172000,,,Lazada
40ba3b9d-3399-43c4-b687-da1f5897798c,1. No problem to shop. 2. Returning items are nightmare. Sometimes returned button is not active but when it got active you shorten your timeframe to return. The return process mostly got stock or wont complete the process. 3. There are items that not purchasable. Mean the prices are very low but when you purchase it you wont got it mostly got cancell. Is just a big wate of time for us as a buyer. 4. Lots lazada items are not shown properly. Which are false advertisement.,1,3,1622845969000,,,Lazada
d95c9e59-ed6d-4b64-93a9-a32284b76db4,"BUYER BEWARE! This company is terribly run. Talking to customer service is like talking to a parrot, they just repeat the situation. Moreover, the user interface is riddled with issues. There's a customer service number listed, expect you have to guess because the website doesn't actually tell you it's a phone number. Returning an item is a nightmare as well. The company gives no notifications and will void a return if you miss a deadline (even if the seller is willing to accept a return).",1,7,1593251765000,,,Lazada
874dece7-5753-40a6-9f55-4372b84a2e5c,"Where to begin... the interface is horrible. So much distractions of promos, sales, and items. Like walking into a casino. Or times square in NY. Bombarded by too many advertisements. There's no way to contact the seller incase of issues. And contacting Lazada is hopeless. An automated ""chat"" system instead of live agent. I'm an out of country shopper and there's not a way for me to call if I have an issue. This app needs a HUGE REVAMP!! Try amazon's interface model. Or even eBay's. You must absolutely fix the issue about being able to contact the SELLER first. Because your customer care is non existent at this point.",2,1,1537317667000,"Dear customer, we are sorry to hear that our services have fallen short of your expectations. Your feedback has been duly noted for future improvements of our services. Please contact our customer service officer if you have any query, our customer service numbers are  PH: (02) 795 8900, SG: +65 3158 7424, and MY: 03 8601 188",1537368449000,Lazada
328ea1b8-a59f-4f27-bc16-6315c14c655a,"A strange but good app, I have had mostly good luck with the products I have received thus far. The interface could definitely use some work as several aspects of it are very confusing. Sellers attempt to be deceptive with pricing, often times highlighting the full product but showing a low price for only a small portion. A rule should be implemented for sellers so that the featured picture for the product is the price shown and not the lowest price for only a partial product.",3,4268,1693578754000,We appreciate your kind words about the quality of the products you have received. We understand your concerns about the interface and the pricing transparency on the app. We are constantly working to improve the user experience and address these issues. We will take your feedback into consideration and strive to make the necessary improvements.,1693580599000,Lazada
0c8ddd7e-9fdb-4546-b5fe-3803f4285cb0,"It used to be good, but they ruined it. With the constany design changes, the UI makes ut so frustrating to use. But then other changes they made like only 7 days to return, even if uts damaged! Sometimes i dint get a chance to open a package within 7 days. This is not exceptible time frame. should be at least 30 days. And then shippinh prices are on everything and tgey keep going up. A couple years ago, this used to be a good app to use. but now it just sucks. They really messed it up.",1,9,1553584136000,,,Lazada
945ec49a-c10d-476d-9063-5776f0ac8104,"The items are and prices are great, but the app and the shipping times aren't as good as other apps I've used. The app ALWAYS says that I have 2 notifications. When I click on the icon, it says that I don't have any. It has said this FOR OVER A MONTH, and it's frustrating. The shipping isn't as fast as other sites. If it says 6 - 10 days, it will NEVER be 6, 7, 8, or even 9 days. It will always be 10 or more",3,1,1575376193000,,,Lazada
117f7af0-94eb-4c4e-8f4c-bb5c6e532a85,"Bought items from a seller and availed of promo. Seller cancelled all orders but 1, after paying, and other items no longer available. Seller then charge without promo and started delivering 1 item only, probably their most profitable item. Yes, they refunded items not available. After a few days, seller still sell same items not available when ordered but increased the price. It's (promos) a scam. Be careful when buying. Ask seller first if item is available.",1,1,1591954456000,"Thank you for your feedback. To remove an item from your cart, just swipe left on the item and the 'Delete' button will show up. For assistance, you may also contact our customer service hotline at Lazada PH (02) 795 8900, SG: +65 3158 7424, and MY: 03 8601 188.",1540285982000,Lazada
393a84de-4136-4f48-bda4-aa42b7a44306,"App keeps filling my phone up with 100s of MB of data and cache, which needs to be cleared regularly. The app needs to clean up after itself!! Also, many reviews that are perfectly good (no bad words, no links etc.) are rejected for some unknown reason, so you end up leaving no review or not the review you wanted. It would be nice to be able to filter out specific keywords in a search. The existing filter system is almost useless.",2,432,1574713405000,Thank you for your feedback about the Filter issue you have encountered on the Lazada App. Our team is currently working to rectify the issue to improve your shopping experience with us. Thank you for your patience and continued support.,1542722952000,Lazada
