reviewId,content,score,thumbsUpCount,at,replyContent,repliedAt,appName
d94ecf4e-7f4e-4bd4-888c-bc28f34d98f5,"Terrible customer service. They first mention that return is easy etc., Then when you go to return an item - they expect you to ship the item to their warehouse else you're stuck with it. The worst is their Customer Support agents. They are the worst! They will sound polite but they are trained to not help you and go on and on with the customer support spiel in the end leaving you frustrated as a customer! Don't shop with them! There are more options and better options available in the market.",1,0,1688373095000,"Hi, we wish to turn around your experience. Please write to appfeedback@myntra.com with your details along with your Google Play Store display ID. We will do our best to gain back your trust.",1688373368000,Myntra
1c86aefc-4565-4c79-999b-adbb5c21c221,Disgusting experience. My Mobile number was suspended and I couldn't redeem my supercoins. I used another number to get the otp and all my coins were gone. I reached out to customer care and they had the same sentence on repeat 10 times. They didn't bother to actually resolve anything. They simply said it's all gone. What's the point of using the app for years when you have an actual problem and they don't bother to assist you in any way. Great way to retain customers!,1,9,1653331305000,"Hello there. We wish to win you back, and we will do our best to make that happen. Please share your details with your Google Play Store display ID at appfeedback@myntra.com
",1653331568000,Myntra
e87269d2-e47c-45a4-86dd-57b78708007c,"1star deducted because of the update about the product when in transit. After purchasing you can't check where your product is but one day when you will be out of home surprisingly get a call to receive the courier. Another 1star deducted for the late delivery. They take 10-15 days to deliver. Otherwise the user experience is good, you can get your expected style, low price than the local store.",3,0,1577696828000,,,Myntra
ef5a72f2-e12a-43bd-887e-32c01c315926,"Myntra used to be up to date with return policies. I never had faced issues with return or exchange items. But the new AI interface is pathetic. I have placed a return request which is now over 1 week. Every time i check in the app, the return date is getting modified. The ""chat"" option is of no help as pre defined questions by AI are not falling into the category of question I want to ask. Didn't expected this level of unprofessionalism from Myntra.",1,0,1701458178000,Hey! Give us an opportunity to put things right by sharing your details and your Google Play Store display ID at appfeedback@myntra.com. We'll do everything we can to earn back your trust.,1701458652000,Myntra
98b28646-a2b9-439f-b5ac-762c1027af1f,"Mytra offers a seamless shopping experience with an extensive catalogue and a user-friendly interface. The app provides excellent customer service, ensuring all queries are handled promptly. Their unbeatable discounts make every purchase worthwhile. Shopping on Mytra is truly hassle-free, from browsing to delivery. Highly recommended for a top-notch experience!",5,244,1723253383000,,,Myntra
73203ab0-cffe-4f3b-8257-0435d8ec4e41,"I had horrible experience with this app. I ordered multiple times through the app and every time they cancel my package just by telling some internal issue . I tried by multiple accounts but the problem remains same. And their customere support system is even worst. They never told me the ""internal reason"". every time they tried to convince me to order again and again.",1,108,1723342346000,"Hey! We regret any inconvenience caused while shopping with us! For us to have a direct conversation with you, please share the details about this review/feedback, & purchase details (Order ID) from your Myntra regd. email ID at appfeedback@myntra.com. Our team is committed to providing you with a delightful shopping experience on Myntra",1723342510000,Myntra
2e6045c8-daa4-40ee-9875-ff2c5c5f89dc,"Love the App, have been using it for years now. I have an issue with one of the recent features of the app where while scrolling the app for styles, suddenly music starts to play from one of the products and there's no way I can stop it. It's an annoying update, especially embarassing if you're in a public space & using the Myntra app and the music starts to play loudly. I request the myntra app team to look into this issue.",5,618,1722858515000,,,Myntra
f12f85d1-509e-4a8f-8ab8-2faf2f1f21e3,"It's the worst shopping site ever! Whenever you Firstly they will send wrong products and to put it for exchange from app, they will again deliver wrong product(different product). To exchange second time...you will have to get on call with customer which is another headache and again they will ship a wrong product(different size).So you will constantly in loop with wrong and following up . At the end you will be frustated. They are terrible. Please consider uninstalling the app",1,77,1722941709000,"Hey! We regret any inconvenience caused while shopping with us! For us to have a direct conversation with you, please share the details about this review/feedback, & purchase details (Order ID) from your Myntra regd. email ID at appfeedback@myntra.com. Our team is committed to providing you with a delightful shopping experience on Myntra",1722941891000,Myntra
a7818e89-5521-4257-9684-5433301912d4,"A pathetic app. I just checked in the 'Orders' page, and it shows nothing. I had multiple completed orders previously, and one going on. Nothing is showing up in the app. I got a shock seeing that if the order was placed or not, as I wanted that dress urgently for a function. While connecting customer care, the order shows up though!!! The genius developers and company added 'take a personal loan' option rather than fixing the 'orders' page!.",1,57,1722872391000,"Hey! We regret any inconvenience caused while shopping with us! For us to have a direct conversation with you, please share the details about this review/feedback, & purchase details (Order ID) from your Myntra regd. email ID at appfeedback@myntra.com. Our team is committed to providing you with a delightful shopping experience on Myntra",1722872847000,Myntra
187695c1-d864-4ef6-82dc-6875d8b4fb3d,"It has been my favourite platform for years now. I loved the collection and product quality at myntra is good . But my experiece from last 2 months was really bad. Pathetic experience with CS team. I placed a return request, and after a struggle of 3 weeks and 2fail attempts, the refund is declined saying the item is not tracked at their warehouse. The status of the app is declining day by day. Horrible after sales services. Extremely disappointed. Not shopping from here in future.",1,108,1723129951000,"Hey! We regret any inconvenience caused while shopping with us! For us to have a direct conversation with you, please share the details about this review/feedback, & purchase details (Order ID) from your Myntra regd. email ID at appfeedback@myntra.com. Our team is committed to providing you with a delightful shopping experience on Myntra",1723129753000,Myntra
