reviewId,content,score,thumbsUpCount,at,replyContent,repliedAt,appName
9f73e569-bb36-4c35-a5c2-5412a3e32cc6,I have bought all my clothes from shein for the past 6 years and I absolutely love them! The clothes are such good quality. I'm constantly getting compliments wearing their clothes. I've never had a single issue with shein EVER. The only thing I wish was different on the app is if you having something in your wishlist that those clothes are not shown or shown down lower while scrolling through shopping so your not constantly clicking on clothes you already like. Shein is the new Amazon handsdown,5,323,1723348459000,,,Shein
731ca074-021f-40fa-a66e-bf7d55702450,"PLEASE STOP IT WITH THE POP-UP OFFERS! You make me want to Shop less and less with Shein because I can't even get to the category or the items I want to view because there's so many pop-ups offers that keep showing up on my screen. Once I clear one, another one immediately pops up. All of your pop-up offers are having the opposite effect, and are causing me not to want to shop out of frustration. I don't want to feel like I'm playing a game by swiping all of these pop ups off my screen!",1,215,1723359459000,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",1723275405000,Shein
feab6570-16c8-4157-933c-1af2a55193ce,"Great app for shopping, but I love shein it's one of my favorite places, shop for literally anything. But my issue is now that I've taken months to login everyday to get points off my purchases. I almost had up to 1500 points,right when I was about to make an order. just for shein to turn around and put a time limit on them. Now eveytime time I log in, my points are lower every. Single. Time. What's the point of having that system if you're going to take it away. Very annoyed.",2,160,1722911026000,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",1722930161000,Shein
32155d73-a4b5-4038-9ed5-9018c40acfb7,"Update: one item out of 5 in order recently received was the wrong item, and was not even from the same company. I've returned it through UPS over a month ago, but the item still has not posted for a refund on my account. I never opened the box since it was the wrong item. Good quality & prices. Arrives quickly!",3,20,1723168890000,,,Shein
25316898-663a-4a52-ba0d-38b32335c499,"Nice app to buy hair accessories, summer dresses, Keychains, little earrings, and random knickknacks. The prices are really good compared to other stores. For example a set of hairclips here could be 4$ and at the store its like 12$. It has really good deals. Only thing is the total in your cart changes when you're about to confirm purchase. It rises a few $ above what was expected but nothing major. I just hope they fix that.",4,7630,1713178192000,,,Shein
453e1964-1fd6-4b40-aec1-e4772f66a2f0,"Love this app! They have all the same stuff as temu and 95% of the stuff Amazon has but for less than Amazon! Way less. You still have to be careful and read product info, product descriptions, reviews, etc to check the item out and the standard shipping is 7-10 days but if you don't need the item right away, why not pay half the price for the same item?! I have bought over 150 items including clothes, home decor, home Improve., pet supplies, and more! Get this app!",5,12164,1715724503000,,,Shein
a152d6b8-abe9-4b63-a807-790e3b6495fd,"It used to be a great shopping app, but now for some reason items are listed at lower prices then when you go to check out the price goes up. It's false advertising and should not be allowed! I think they're trying to promote some shopping pass (read: additional monthly fees!!). Used to be my favorite place to shop, now it's just a waste of time.",1,295,1715154210000,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",1715177685000,Shein
ebd8073d-754d-4203-b220-3913c17fe8f5,"Nice and affordable, quality usually matches price. I only have 2 complaints: for one all the models are super filtered so it makes you think the clothes will be nice and tight on the waist but then you get them and they are super loose on the waist. It says the model's size as if thats supposed to help you when their picture is mega-filtered. 2nd complaint: its impossible to find clothes that are both cute and modest. You have to pick one or the other, you cant have both.",2,17,1722337794000,,,Shein
1b6908a6-8b6e-46a4-8043-d2abe34730a9,"It's a really good app overall, but I have a few problems with it. The updating on my orders are REALLY slow it's been 5 days, and it still hasn't been updated. It also said 'NY MINEOLA not yet received', but it still went past that. I tried emailing, but couldn't the price on the items in my cart would also randomly change prices to either cheap or expensive, but when you go to check out, it says a completely different price. So I give it 3\5",3,6,1718003711000,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",1718030704000,Shein
12826634-1bcb-4910-956e-5550183dab19,"SHIEN - Shopping Online offers a wide variety of trendy and affordable fashion items. The app's interface is sleek and easy to navigate, making the shopping experience enjoyable. However, occasional delivery delays and sizing discrepancies can be frustrating. Overall, a great option for budget-friendly fashion finds, but improvements in reliability would be appreciated.",4,5,1717848446000,,,Shein
5c9d8ec2-0aa7-48f2-b32d-4af163d1d0de,"The clothes I've gotten from shein are fine. This review is about the app. It's very clunky. The worst part is when you're looking at an item it lists one price as ""potential savings"" instead of telling you the actual price. When you add it to your cart it is usually higher based on whatever coupons get applied first.",2,1,1719681917000,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",1719748763000,Shein
9788714e-16fa-4dd2-b90b-d36b09a4a44e,"I can't believe this app. My cart was originally £11.00, I leave and go back on the app about an hour later and now the price is at £13.00, can't believe you shein, and the fact non of the items went up the price is still unbelievable, I should've never downloaded this app. And even with the prizes, all my credit points expired so now I don't have any to use, and why even let us gain points if you make it have an expiration date. The prize-winning thing is a scam, is just a waste of peoples time",2,2,1716877030000,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",1716886670000,Shein
6221b5a0-dc7b-40ed-ac2b-02cd1e9a5a9a,"I'm actually disappointed at the way the ads work! I playTiki Tri Peak Solitaire, and every time I try to get a bonus for my team, once a Shein ad plays, it bounces me out and throws me in to buy something from Shein. The app itself is ok.. but if I'm playing other games, the app shouldn't destroy my points in other games. It does the same thing to Snoopy Town, and that game is so hard as it is( no fault of Shein, I understand), but if you make ads to get people to but things, you're losing me.",2,6,1717798004000,"Hi! Hope you have a nice shopping experience here. For any issues, you may contact Customer Service by app. Click ""me""-→support-→customer service-→type your question directly in the message box to get an answer or solution. If the answers don't match, please go ahead and describe the issue in detail. We'll be glad to help you further.",1717833654000,Shein
