review_month,Negative,Neutral,Positive
2012-09,0,0,4
2012-10,0,0,1
2013-10,1,4,1
2013-11,0,0,2
2013-12,1,0,1
2014-04,1,6,5
2014-05,0,1,0
2014-06,1,0,0
2014-07,2,1,2
2014-08,0,0,2
2014-09,3,3,15
2014-10,2,1,2
2014-11,2,0,0
2014-12,0,1,0
2015-03,1,0,0
2015-04,1,1,0
2015-05,0,1,0
2015-06,1,1,0
2015-07,0,0,2
2015-08,0,0,2
2015-09,0,0,1
2015-10,1,1,2
2016-02,3,0,0
2016-03,6,0,0
2016-04,0,1,3
2016-05,0,0,6
2016-06,1,0,13
2016-07,4,3,18
2016-08,3,1,30
2016-09,3,0,64
2016-10,1,2,35
2016-11,1,5,34
2016-12,3,2,46
2017-01,4,2,96
2017-02,3,5,37
2017-03,1,5,44
2017-04,2,5,35
2017-05,4,2,28
2017-06,7,18,78
2017-07,7,7,57
2018-09,1666,317,1820
2018-10,3313,701,4221
2018-11,3192,676,3994
2018-12,2754,510,3430
2019-01,3045,542,2999
2019-02,2278,454,3044
2019-03,2806,523,3735
2019-04,2667,508,3557
2019-05,3015,605,3648
2019-06,3021,588,3589
2019-07,2798,696,6451
2019-08,2979,657,5084
2019-09,2730,636,4567
2019-10,4132,701,4537
2019-11,3082,712,5153
2019-12,2759,634,4962
2020-01,2498,640,4622
2020-02,2104,519,3614
2020-03,2270,613,4267
2020-04,2080,553,3880
2020-05,3406,921,6991
2020-06,4268,968,7612
2020-07,4052,805,6359
2020-08,3707,848,5854
2020-09,3565,816,6158
2020-10,3968,844,5470
2020-11,4148,880,5854
2020-12,3716,832,6247
2021-01,3463,797,5823
2021-02,2772,727,5827
2021-03,4727,1257,10192
2021-04,3859,954,6614
2021-05,3872,934,6915
2021-06,3853,919,6369
2021-07,4738,905,5498
2021-08,4225,842,5054
2021-09,6296,1074,5894
2021-10,6441,945,4995
2021-11,4466,801,5289
2021-12,3892,817,5785
2022-01,3767,812,5926
2022-02,3170,748,4495
2022-03,3892,864,5701
2022-04,3955,856,6226
2022-05,4105,840,5701
2022-06,3726,720,5503
2022-07,3457,688,5110
2022-08,3612,782,5222
2022-09,3875,736,4891
2022-10,3811,678,4780
2022-11,3261,714,6227
2022-12,3408,624,4228
2023-01,2964,619,4066
2023-02,2491,545,4054
2023-03,2950,630,4600
2023-04,3242,550,4199
2023-05,3425,618,4610
2023-06,4061,654,3445
2023-07,3464,630,3411
2023-08,3486,670,3766
2023-09,3154,547,3557
2023-10,3055,454,2511
2023-11,3838,585,2809
2023-12,2965,467,2716
2024-01,2626,486,2472
2024-02,3563,657,4430
2024-03,7188,1351,9195
2024-04,7281,1209,8867
2024-05,7702,1368,10384
2024-06,8845,1530,11787
2024-07,10176,1807,14364
2024-08,4553,910,9176
